DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2022-01-01,23 °C,27.9 °C,33 °C,—,—,,7.8 km/h,—,1012.8 hPa,—
2022-01-02,23 °C,28 °C,33 °C,—,—,,6.5 km/h,—,1012.3 hPa,—
2022-01-03,24 °C,27.3 °C,32 °C,—,—,,6.6 km/h,—,1011.3 hPa,—
2022-01-04,24 °C,27.2 °C,32 °C,—,—,,6.4 km/h,—,1011.5 hPa,—
2022-01-05,24 °C,27.9 °C,32 °C,—,—,,6.4 km/h,—,1011.3 hPa,—
2022-01-06,24 °C,27.5 °C,31 °C,—,—,,4.6 km/h,—,1011.8 hPa,—
2022-01-07,26 °C,28 °C,33 °C,—,—,,5.9 km/h,—,1012.3 hPa,—
2022-01-08,24 °C,27.6 °C,33 °C,—,—,,6.9 km/h,—,1012 hPa,—
2022-01-09,23 °C,28 °C,33 °C,—,—,,7.3 km/h,—,1011.3 hPa,—
2022-01-10,25 °C,27.9 °C,32 °C,—,—,,6.6 km/h,—,1011.6 hPa,—
2022-01-11,24 °C,27.4 °C,34 °C,—,—,,8.1 km/h,—,1012.6 hPa,—
2022-01-12,22 °C,26.7 °C,32 °C,—,—,,7.7 km/h,—,1013.2 hPa,—
2022-01-13,21 °C,26.2 °C,30 °C,—,—,,6.3 km/h,—,1013.2 hPa,—
2022-01-14,22 °C,26.8 °C,33 °C,—,—,,7.4 km/h,—,1013.2 hPa,—
2022-01-15,21 °C,27.1 °C,34 °C,—,—,,6.3 km/h,—,1012.6 hPa,—
2022-01-16,22 °C,28.2 °C,33 °C,—,—,,9.4 km/h,—,1012.3 hPa,—
2022-01-17,24 °C,27.4 °C,32 °C,—,—,,5.9 km/h,—,1012.4 hPa,—
2022-01-18,23 °C,27.5 °C,33 °C,—,—,,6 km/h,—,1011.5 hPa,—
2022-01-19,24 °C,27 °C,32 °C,—,—,,8.3 km/h,—,1010.5 hPa,—
2022-01-20,23 °C,26.9 °C,32 °C,—,—,,6.8 km/h,—,1010.3 hPa,—
2022-01-21,23 °C,27.6 °C,34 °C,—,—,,7.2 km/h,—,1010.5 hPa,—
2022-01-22,23 °C,27.4 °C,34 °C,—,—,,10.1 km/h,—,1009.5 hPa,—
2022-01-23,25 °C,27.9 °C,33 °C,—,—,,9.4 km/h,—,1009.8 hPa,—
2022-01-24,25 °C,28.1 °C,33 °C,—,—,,7.3 km/h,—,1009.6 hPa,—
2022-01-25,25 °C,27.6 °C,31 °C,—,—,,10.4 km/h,—,1009.9 hPa,—
2022-01-26,24 °C,27.2 °C,33 °C,—,—,,8.3 km/h,—,1010 hPa,—
2022-01-27,24 °C,27.7 °C,35 °C,—,—,,7.7 km/h,—,1009.6 hPa,—
2022-01-28,24 °C,28.3 °C,33 °C,—,—,,6.8 km/h,—,1010.3 hPa,—
2022-01-29,25 °C,27.8 °C,33 °C,—,—,,9.4 km/h,—,1009.9 hPa,—
2022-01-30,26 °C,27.6 °C,32 °C,—,—,,12.3 km/h,—,1010.2 hPa,—
2022-01-31,25 °C,28.6 °C,34 °C,—,—,,14.2 km/h,—,1010.1 hPa,—
2022-02-01,25 °C,29.1 °C,35 °C,—,—,,13.5 km/h,—,1010.1 hPa,—
2022-02-02,24 °C,29.2 °C,35 °C,—,—,,13.5 km/h,—,1010.9 hPa,—
2022-02-03,24 °C,28.9 °C,36 °C,—,—,,10.6 km/h,—,1010.6 hPa,—
2022-02-04,24 °C,28.7 °C,35 °C,—,—,,7.2 km/h,—,1010 hPa,—
2022-02-05,24 °C,28.8 °C,35 °C,—,—,,7 km/h,—,1010.3 hPa,—
2022-02-06,23 °C,28.8 °C,33 °C,—,—,,8 km/h,—,1011 hPa,—
2022-02-07,24 °C,29.6 °C,35 °C,—,—,,9.1 km/h,—,1010.4 hPa,—
2022-02-08,27 °C,28.6 °C,33 °C,—,—,,11.4 km/h,—,1010.4 hPa,—
2022-02-09,24 °C,29.1 °C,35 °C,—,—,,9.9 km/h,—,1010.3 hPa,—
2022-02-10,25 °C,29.5 °C,35 °C,—,—,,10.2 km/h,—,1009.6 hPa,—
2022-02-11,25 °C,28.9 °C,33 °C,—,—,,8.1 km/h,—,1009 hPa,—
2022-02-12,25 °C,29.4 °C,36 °C,—,—,,9.4 km/h,—,1008 hPa,—
2022-02-13,25 °C,29.1 °C,33 °C,—,—,,10.5 km/h,—,1007.3 hPa,—
2022-02-14,26 °C,29 °C,35 °C,—,—,,10.1 km/h,—,1007.8 hPa,—
2022-02-15,25 °C,29.3 °C,34 °C,—,—,,12.5 km/h,—,1008.7 hPa,—
2022-02-16,26 °C,29.1 °C,34 °C,—,—,,14.7 km/h,—,1008 hPa,—
2022-02-17,26 °C,28.7 °C,33 °C,—,—,,14.5 km/h,—,1008 hPa,—
2022-02-18,26 °C,29.1 °C,34 °C,—,—,,14.7 km/h,—,1008.7 hPa,—
2022-02-19,26 °C,28.7 °C,32 °C,—,—,,10.5 km/h,—,1010.3 hPa,—
2022-02-20,26 °C,28.2 °C,32 °C,—,—,,11.7 km/h,—,1009.8 hPa,—
2022-02-21,25 °C,27.6 °C,34 °C,—,—,,8.2 km/h,—,1010.6 hPa,—
2022-02-22,25 °C,26.4 °C,32 °C,—,—,,6.9 km/h,—,1011.8 hPa,—
2022-02-23,24 °C,27.6 °C,33 °C,—,—,,5.7 km/h,—,1012.4 hPa,—
2022-02-24,24 °C,27.6 °C,32 °C,—,—,,9 km/h,—,1012.8 hPa,—
2022-02-25,23 °C,27.4 °C,33 °C,—,—,,9.8 km/h,—,1012.7 hPa,—
2022-02-26,23 °C,29.1 °C,35 °C,—,—,,8.8 km/h,—,1012 hPa,—
2022-02-27,24 °C,29.3 °C,35 °C,—,—,,9.1 km/h,—,1011.8 hPa,—
2022-02-28,24 °C,29.7 °C,35 °C,—,—,,10.3 km/h,—,1011.1 hPa,—
2022-03-01,26 °C,29.4 °C,34 °C,—,—,,8.2 km/h,—,1011 hPa,—
2022-03-02,26 °C,28.4 °C,34 °C,—,—,,7.5 km/h,—,1010.5 hPa,—
2022-03-03,26 °C,29.6 °C,34 °C,—,—,,8.5 km/h,—,1010.2 hPa,—
2022-03-04,25 °C,29.6 °C,35 °C,—,—,,9.8 km/h,—,1009.5 hPa,—
2022-03-05,27 °C,29.4 °C,34 °C,—,—,,10.5 km/h,—,1009.1 hPa,—
2022-03-06,24 °C,29.9 °C,36 °C,—,—,,12.4 km/h,—,1009.2 hPa,—
2022-03-07,26 °C,29.3 °C,35 °C,—,—,,11.9 km/h,—,1009.6 hPa,—
2022-03-08,25 °C,29.6 °C,36 °C,—,—,,8.5 km/h,—,1009.3 hPa,—
2022-03-09,25 °C,28.3 °C,34 °C,—,—,,10.9 km/h,—,1008.9 hPa,—
2022-03-10,25 °C,27.6 °C,31 °C,—,—,,8.1 km/h,—,1008.8 hPa,—
2022-03-11,25 °C,28.9 °C,34 °C,—,—,,7.6 km/h,—,1007.5 hPa,—
2022-03-12,25 °C,27.9 °C,32 °C,—,—,,7.9 km/h,—,1007.4 hPa,—
