DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2022-03-13,26 °C,30.1 °C,35 °C,—,—,,10.3 km/h,—,1007.1 hPa,—
2022-03-14,27 °C,29.5 °C,35 °C,—,—,,13.3 km/h,—,1007.8 hPa,—
2022-03-15,27 °C,29.7 °C,35 °C,—,—,,13 km/h,—,1007.3 hPa,—
2022-03-16,26 °C,28.9 °C,33 °C,—,—,,12.7 km/h,—,1007.5 hPa,—
2022-03-17,26 °C,29.5 °C,34 °C,—,—,,11.2 km/h,—,1007.3 hPa,—
2022-03-18,26 °C,29.4 °C,34 °C,—,—,,10.4 km/h,—,1007.4 hPa,—
2022-03-19,25 °C,29.9 °C,35 °C,—,—,,11.2 km/h,—,1006.7 hPa,—
2022-03-20,26 °C,29.3 °C,34 °C,—,—,,11.5 km/h,—,1008 hPa,—
2022-03-21,27 °C,29.4 °C,34 °C,—,—,,14.2 km/h,—,1009.5 hPa,—
2022-03-22,26 °C,28.2 °C,33 °C,—,—,,12.3 km/h,—,1010.2 hPa,—
2022-03-23,25 °C,29.6 °C,35 °C,—,—,,10 km/h,—,1009.6 hPa,—
2022-03-24,27 °C,30.1 °C,35 °C,—,—,,12.8 km/h,—,1009.3 hPa,—
2022-03-25,27 °C,30.3 °C,35 °C,—,—,,15.2 km/h,—,1009.8 hPa,—
2022-03-26,27 °C,30.8 °C,36 °C,—,—,,8.3 km/h,—,1010.5 hPa,—
2022-03-27,28 °C,30.3 °C,35 °C,—,—,,10.8 km/h,—,1009.9 hPa,—
2022-03-28,24 °C,28.4 °C,36 °C,—,—,,8.2 km/h,—,1009.9 hPa,—
2022-03-29,25 °C,27.9 °C,35 °C,—,—,,8.1 km/h,—,1009.5 hPa,—
2022-03-30,24 °C,28.9 °C,34 °C,—,—,,9.8 km/h,—,1008.3 hPa,—
2022-03-31,25 °C,28.2 °C,33 °C,—,—,,7 km/h,—,1008 hPa,—
2022-04-01,24 °C,28.1 °C,32 °C,—,—,,13 km/h,—,1009.8 hPa,—
2022-04-02,26 °C,28.7 °C,34 °C,—,—,,13.8 km/h,—,1010.5 hPa,—
2022-04-03,24 °C,28.2 °C,35 °C,—,—,,10.8 km/h,—,1010.4 hPa,—
2022-04-04,24 °C,27.4 °C,33 °C,—,—,,9.6 km/h,—,1011.8 hPa,—
2022-04-05,24 °C,27.8 °C,34 °C,—,—,,7.7 km/h,—,1011.8 hPa,—
2022-04-06,25 °C,28.9 °C,34 °C,—,—,,5.9 km/h,—,1010.9 hPa,—
2022-04-07,25 °C,28.8 °C,33 °C,—,—,,7.3 km/h,—,1010 hPa,—
2022-04-08,25 °C,29.6 °C,34 °C,—,—,,8.8 km/h,—,1009.5 hPa,—
2022-04-09,26 °C,29.4 °C,34 °C,—,—,,9 km/h,—,1009.1 hPa,—
2022-04-10,27 °C,29 °C,33 °C,—,—,,10.5 km/h,—,1008.8 hPa,—
2022-04-11,26 °C,29.1 °C,33 °C,—,—,,12 km/h,—,1008.8 hPa,—
2022-04-12,26 °C,29.6 °C,33 °C,—,—,,10.2 km/h,—,1007.7 hPa,—
2022-04-13,27 °C,30.2 °C,35 °C,—,—,,10.5 km/h,—,1006.6 hPa,—
2022-04-14,27 °C,29.8 °C,35 °C,—,—,,10.5 km/h,—,1006.5 hPa,—
2022-04-15,24 °C,29.1 °C,34 °C,—,—,,9.8 km/h,—,1007.3 hPa,—
2022-04-16,24 °C,27.1 °C,32 °C,—,—,,9 km/h,—,1007.5 hPa,—
2022-04-17,25 °C,29.7 °C,34 °C,—,—,,12.4 km/h,—,1008.1 hPa,—
2022-04-18,28 °C,29.9 °C,33 °C,—,—,,13.5 km/h,—,1009 hPa,—
2022-04-19,26 °C,29.9 °C,34 °C,—,—,,8.4 km/h,—,1009.7 hPa,—
2022-04-20,26 °C,29.7 °C,35 °C,—,—,,9.2 km/h,—,1009.3 hPa,—
2022-04-21,27 °C,30.4 °C,35 °C,—,—,,13.9 km/h,—,1008.8 hPa,—
2022-04-22,27 °C,30.6 °C,35 °C,—,—,,13.8 km/h,—,1009.1 hPa,—
2022-04-23,27 °C,30.1 °C,35 °C,—,—,,13.6 km/h,—,1008.3 hPa,—
2022-04-24,28 °C,30.6 °C,35 °C,—,—,,11.3 km/h,—,1007.4 hPa,—
2022-04-25,28 °C,30.7 °C,34 °C,—,—,,11.9 km/h,—,1007.3 hPa,—
2022-04-26,26 °C,30.3 °C,35 °C,—,—,,9.3 km/h,—,1007.1 hPa,—
2022-04-27,27 °C,31.7 °C,36 °C,—,—,,7 km/h,—,1006.7 hPa,—
2022-04-28,29 °C,30.9 °C,35 °C,—,—,,12.9 km/h,—,1007 hPa,—
2022-04-29,23 °C,25.8 °C,29 °C,—,—,,7.7 km/h,—,1007.5 hPa,—
2022-04-30,24 °C,27.3 °C,31 °C,—,—,,6.3 km/h,—,1006.5 hPa,—
2022-05-01,26 °C,27.5 °C,31 °C,—,—,,6.4 km/h,—,1006.4 hPa,—
2022-05-02,25 °C,28.1 °C,32 °C,—,—,,8.1 km/h,—,1007 hPa,—
2022-05-03,25 °C,27.9 °C,34 °C,—,—,,10 km/h,—,1008.6 hPa,—
2022-05-04,25 °C,26.9 °C,33 °C,—,—,,7.6 km/h,—,1009 hPa,—
2022-05-05,24 °C,28.2 °C,32 °C,—,—,,8.4 km/h,—,1007.4 hPa,—
2022-05-06,25 °C,29.9 °C,34 °C,—,—,,10.1 km/h,—,1007.1 hPa,—
2022-05-07,28 °C,30.1 °C,34 °C,—,—,,16.2 km/h,—,1007.3 hPa,—
2022-05-08,27 °C,29.3 °C,32 °C,—,—,,13.5 km/h,—,1007.5 hPa,—
2022-05-09,27 °C,30.3 °C,35 °C,—,—,,15.6 km/h,—,1007.8 hPa,—
2022-05-10,27 °C,29.7 °C,35 °C,—,—,,11 km/h,—,1007.9 hPa,—
2022-05-11,27 °C,30.2 °C,35 °C,—,—,,8.8 km/h,—,1007.8 hPa,—
2022-05-12,26 °C,29.4 °C,34 °C,—,—,,9.7 km/h,—,1007.6 hPa,—
2022-05-13,27 °C,29.9 °C,34 °C,—,—,,8.2 km/h,—,1007.1 hPa,—
2022-05-14,27 °C,31.1 °C,35 °C,—,—,,10.2 km/h,—,1007.9 hPa,—
2022-05-15,28 °C,30.4 °C,36 °C,—,—,,10.6 km/h,—,1008.4 hPa,—
2022-05-16,27 °C,28.6 °C,32 °C,—,—,,7.7 km/h,—,1008.5 hPa,—
2022-05-17,25 °C,28.9 °C,33 °C,—,—,,8.4 km/h,—,1008.9 hPa,—
2022-05-18,26 °C,27.2 °C,30 °C,—,—,,6.2 km/h,—,1009.7 hPa,—
2022-05-19,25 °C,27.6 °C,33 °C,—,—,,5.1 km/h,—,1010 hPa,—
2022-05-20,26 °C,30.2 °C,34 °C,—,—,,9.6 km/h,—,1008.1 hPa,—
2022-05-21,26 °C,28 °C,33 °C,—,—,,12.7 km/h,—,1006.6 hPa,—
2022-05-22,26 °C,27.2 °C,33 °C,—,—,,12.7 km/h,—,1005.1 hPa,—
2022-05-23,25 °C,28.2 °C,31 °C,—,—,,14.9 km/h,—,1005.7 hPa,—
2022-05-24,27 °C,30.2 °C,34 °C,—,—,,14.7 km/h,—,1008.2 hPa,—
2022-05-25,27 °C,30.3 °C,34 °C,—,—,,13.5 km/h,—,1008.4 hPa,—
2022-05-26,23 °C,28.2 °C,33 °C,—,—,,12.3 km/h,—,1006.5 hPa,—
2022-05-27,24 °C,27.1 °C,34 °C,—,—,,11.1 km/h,—,1005.6 hPa,—
2022-05-28,24 °C,27.3 °C,32 °C,6.8 mm,—,,12.2 km/h,—,1006.1 hPa,—
2022-05-29,25 °C,27.9 °C,32 °C,1.9 mm,—,,10.9 km/h,—,1006.2 hPa,—
2022-05-30,25 °C,27.4 °C,32 °C,6.8 mm,—,,8.7 km/h,—,1005.9 hPa,—
2022-05-31,26 °C,30.3 °C,34 °C,18.8 mm,—,,8 km/h,—,1005.5 hPa,—
2022-06-01,28 °C,29.3 °C,33 °C,14.9 mm,—,,8.5 km/h,—,1006.4 hPa,—
2022-06-02,24 °C,26.5 °C,31 °C,15.1 mm,—,,9.6 km/h,—,1007.8 hPa,—
2022-06-03,25 °C,27.6 °C,33 °C,19.1 mm,—,,8 km/h,—,1008.2 hPa,—
2022-06-04,26 °C,27.5 °C,33 °C,10 mm,—,,9.2 km/h,—,1009.3 hPa,—
2022-06-05,25 °C,29.2 °C,33 °C,0 mm,—,,9.3 km/h,—,1007.9 hPa,—
2022-06-06,26 °C,29.7 °C,35 °C,5.8 mm,—,,12.6 km/h,—,1006.6 hPa,—
2022-06-07,27 °C,30.3 °C,34 °C,4.7 mm,—,,8.7 km/h,—,1006.9 hPa,—
2022-06-08,27 °C,31.1 °C,35 °C,6.9 mm,—,,7.8 km/h,—,1007.3 hPa,—
2022-06-09,24 °C,30.4 °C,36 °C,2.7 mm,—,,7.8 km/h,—,1006.8 hPa,—
2022-06-10,26 °C,29.9 °C,34 °C,13.8 mm,—,,7.7 km/h,—,1007.5 hPa,—
2022-06-11,27 °C,30.2 °C,35 °C,10.6 mm,—,,6.6 km/h,—,1007.6 hPa,—
2022-06-12,25 °C,27.1 °C,34 °C,12.8 mm,—,,7.2 km/h,—,1008.7 hPa,—
2022-06-13,25 °C,29.3 °C,33 °C,3 mm,—,,7.4 km/h,—,1008.1 hPa,—
2022-06-14,26 °C,30.3 °C,34 °C,3.8 mm,—,,8.5 km/h,—,1008 hPa,—
2022-06-15,27 °C,28.7 °C,33 °C,3.6 mm,—,,7.7 km/h,—,1008.9 hPa,—
2022-06-16,26 °C,30.2 °C,34 °C,10.2 mm,—,,5.9 km/h,—,1009.2 hPa,—
2022-06-17,27 °C,29.3 °C,33 °C,9.4 mm,—,,6.3 km/h,—,1008.9 hPa,—
2022-06-18,26 °C,28.7 °C,34 °C,15 mm,—,,8.8 km/h,—,1008.6 hPa,—
2022-06-19,25 °C,27.6 °C,34 °C,2.4 mm,—,,7.7 km/h,—,1007.9 hPa,—
2022-06-20,25 °C,28.4 °C,34 °C,5.6 mm,—,,7.2 km/h,—,1006.2 hPa,—
2022-06-21,25 °C,28 °C,34 °C,23.5 mm,—,,8.5 km/h,—,1006.2 hPa,—
2022-06-22,24 °C,27.4 °C,33 °C,22.7 mm,—,,6.6 km/h,—,1008.3 hPa,—
2022-06-23,25 °C,26.9 °C,33 °C,11.5 mm,—,,7.5 km/h,—,1008.8 hPa,—
2022-06-24,24 °C,27.3 °C,32 °C,7.4 mm,—,,7.6 km/h,—,1007.6 hPa,—
2022-06-25,26 °C,29.1 °C,33 °C,5.4 mm,—,,6.5 km/h,—,1007 hPa,—
2022-06-26,27 °C,29.4 °C,34 °C,10.4 mm,—,,6.4 km/h,—,1007.8 hPa,—
2022-06-27,26 °C,29.2 °C,34 °C,2.9 mm,—,,6.7 km/h,—,1008.1 hPa,—
2022-06-28,23 °C,28.1 °C,33 °C,14.8 mm,—,,9.4 km/h,—,1006.6 hPa,—
2022-06-29,27 °C,29.8 °C,34 °C,19.4 mm,—,,13.6 km/h,—,1004.1 hPa,—
2022-06-30,26 °C,28.3 °C,33 °C,8.1 mm,—,,15.6 km/h,—,1003.8 hPa,—
2022-07-01,25 °C,27.9 °C,31 °C,6.2 mm,—,,13.1 km/h,—,1004.6 hPa,—
2022-07-02,27 °C,27.9 °C,30 °C,8.2 mm,—,,13.4 km/h,—,1005.1 hPa,—
2022-07-03,25 °C,27.6 °C,30 °C,6 mm,—,,10.2 km/h,—,1006.3 hPa,—
2022-07-04,26 °C,28.7 °C,33 °C,11.1 mm,—,,12.2 km/h,—,1006.2 hPa,—
2022-07-05,27 °C,29.1 °C,32 °C,9.8 mm,—,,12.8 km/h,—,1006.7 hPa,—
2022-07-06,27 °C,29.1 °C,34 °C,8.6 mm,—,,12.5 km/h,—,1007.1 hPa,—
2022-07-07,26 °C,29.3 °C,33 °C,10.9 mm,—,,12.4 km/h,—,1007 hPa,—
2022-07-08,25 °C,27.4 °C,32 °C,14.3 mm,—,,10.3 km/h,—,1006.9 hPa,—
2022-07-09,25 °C,26.9 °C,32 °C,11.9 mm,—,,10.9 km/h,—,1005.5 hPa,—
2022-07-10,24 °C,26.7 °C,31 °C,18.4 mm,—,,16.2 km/h,—,1006 hPa,—
2022-07-11,25 °C,27.1 °C,31 °C,22.6 mm,—,,15.8 km/h,—,1005.9 hPa,—
2022-07-12,25 °C,26.4 °C,29 °C,19.9 mm,—,,13 km/h,—,1005 hPa,—
2022-07-13,25 °C,27.4 °C,31 °C,8.5 mm,—,,16.5 km/h,—,1004.1 hPa,—
2022-07-14,25 °C,27.7 °C,31 °C,3.8 mm,—,,13 km/h,—,1004.9 hPa,—
2022-07-15,25 °C,27.6 °C,32 °C,8.6 mm,—,,11.5 km/h,—,1006.1 hPa,—
2022-07-16,26 °C,28.2 °C,33 °C,9.9 mm,—,,12 km/h,—,1007.2 hPa,—
2022-07-17,26 °C,28.2 °C,33 °C,16.4 mm,—,,13.9 km/h,—,1008.4 hPa,—
2022-07-18,26 °C,28.7 °C,33 °C,11.4 mm,—,,10.8 km/h,—,1007 hPa,—
2022-07-19,25 °C,27.2 °C,32 °C,12.6 mm,—,,9.8 km/h,—,1006 hPa,—
2022-07-20,25 °C,25.8 °C,30 °C,24.8 mm,—,,8.5 km/h,—,1006.8 hPa,—
2022-07-21,25 °C,25.6 °C,29 °C,19.1 mm,—,,6.7 km/h,—,1009.6 hPa,—
2022-07-22,24 °C,29 °C,35 °C,0 mm,—,,6.6 km/h,—,1009.8 hPa,—
2022-07-23,25 °C,27.6 °C,33 °C,6.5 mm,—,,6.7 km/h,—,1008.7 hPa,—
2022-07-24,25 °C,29.5 °C,34 °C,1.2 mm,—,,7.7 km/h,—,1007.2 hPa,—
2022-07-25,26 °C,29.8 °C,35 °C,9 mm,—,,9.8 km/h,—,1007.5 hPa,—
2022-07-26,25 °C,27.9 °C,32 °C,2 mm,—,,7 km/h,—,1008 hPa,—
2022-07-27,25 °C,28.4 °C,32 °C,4.9 mm,—,,6.7 km/h,—,1007.5 hPa,—
2022-07-28,25 °C,28.2 °C,33 °C,3.5 mm,—,,6.3 km/h,—,1007.5 hPa,—
2022-07-29,25 °C,29.7 °C,35 °C,0.9 mm,—,,9.3 km/h,—,1006.8 hPa,—
2022-07-30,27 °C,29.7 °C,34 °C,11.4 mm,—,,13 km/h,—,1006.3 hPa,—
2022-07-31,26 °C,28.8 °C,34 °C,13.4 mm,—,,12.8 km/h,—,1005.5 hPa,—
2022-08-01,25 °C,27.8 °C,33 °C,18.3 mm,—,,8.3 km/h,—,1006.3 hPa,—
2022-08-02,26 °C,28.3 °C,32 °C,13.9 mm,—,,8.7 km/h,—,1007.3 hPa,—
2022-08-03,26 °C,27.9 °C,33 °C,20.8 mm,—,,9.3 km/h,—,1008.4 hPa,—
2022-08-04,25 °C,27.3 °C,31 °C,6.5 mm,—,,7.1 km/h,—,1008.1 hPa,—
2022-08-05,25 °C,28.1 °C,32 °C,20.9 mm,—,,9.3 km/h,—,1007.5 hPa,—
2022-08-06,24 °C,27.2 °C,30 °C,16.1 mm,—,,11.7 km/h,—,1007.1 hPa,—
2022-08-07,25 °C,26.8 °C,30 °C,19 mm,—,,13.6 km/h,—,1006.6 hPa,—
2022-08-08,24 °C,26.5 °C,30 °C,18.8 mm,—,,13.5 km/h,—,1006.6 hPa,—
2022-08-09,25 °C,27.8 °C,32 °C,13.8 mm,—,,14.8 km/h,—,1006 hPa,—
2022-08-10,26 °C,28.7 °C,32 °C,6.8 mm,—,,19.4 km/h,—,1005.8 hPa,—
2022-08-11,25 °C,25.9 °C,30 °C,4.7 mm,—,,13 km/h,—,1007.5 hPa,—
2022-08-12,24 °C,28.4 °C,33 °C,6.9 mm,—,,7.9 km/h,—,1008.3 hPa,—
2022-08-13,26 °C,29.7 °C,34 °C,0 mm,—,,7.9 km/h,—,1008.3 hPa,—
2022-08-14,26 °C,29.7 °C,34 °C,14.5 mm,—,,9.2 km/h,—,1008 hPa,—
2022-08-15,23 °C,26.8 °C,32 °C,7.8 mm,—,,10.4 km/h,—,1007.6 hPa,—
2022-08-16,25 °C,27 °C,32 °C,7 mm,—,,7.7 km/h,—,1007.7 hPa,—
2022-08-17,26 °C,27.9 °C,32 °C,4.3 mm,—,,9.8 km/h,—,1008.2 hPa,—
2022-08-18,26 °C,29.1 °C,33 °C,9 mm,—,,10.5 km/h,—,1007.5 hPa,—
2022-08-19,26 °C,28.7 °C,34 °C,4.6 mm,—,,11.6 km/h,—,1006.7 hPa,—
2022-08-20,26 °C,28.6 °C,33 °C,10 mm,—,,12.9 km/h,—,1006.3 hPa,—
2022-08-21,27 °C,28.1 °C,32 °C,5.3 mm,—,,13.2 km/h,—,1006.9 hPa,—
2022-08-22,26 °C,29.1 °C,35 °C,1.7 mm,—,,10 km/h,—,1007.5 hPa,—
2022-08-23,25 °C,29 °C,33 °C,7.1 mm,—,,10.3 km/h,—,1007.3 hPa,—
2022-08-24,25 °C,28.3 °C,33 °C,5.6 mm,—,,8.1 km/h,—,1006.6 hPa,—
2022-08-25,25 °C,27.6 °C,32 °C,8.6 mm,—,,12.8 km/h,—,1006.8 hPa,—
2022-08-26,24 °C,26.3 °C,31 °C,14 mm,—,,10.7 km/h,—,1008.8 hPa,—
2022-08-27,24 °C,28.6 °C,34 °C,9.8 mm,—,,7.4 km/h,—,1008.5 hPa,—
2022-08-28,25 °C,28.1 °C,34 °C,3.5 mm,—,,4.4 km/h,—,1007.2 hPa,—
2022-08-29,25 °C,29.6 °C,33 °C,5.8 mm,—,,11.2 km/h,—,1008.2 hPa,—
2022-08-30,24 °C,28.6 °C,34 °C,8 mm,—,,9.5 km/h,—,1008.2 hPa,—
2022-08-31,24.8 °C,28.1 °C,33 °C,11.1 mm,—,,7.5 km/h,—,1007.6 hPa,—
2022-09-01,25 °C,29.6 °C,34 °C,21.6 mm,—,,4.4 km/h,—,1007.4 hPa,—
2022-09-02,24 °C,27.3 °C,33 °C,3.3 mm,—,,6.8 km/h,—,1007.9 hPa,—
2022-09-03,25 °C,28.8 °C,34 °C,12.2 mm,—,,8.9 km/h,—,1007.4 hPa,—
2022-09-04,25 °C,27.7 °C,32 °C,10.4 mm,—,,12.6 km/h,—,1008.2 hPa,—
2022-09-05,25 °C,28.3 °C,32 °C,12.8 mm,—,,10.2 km/h,—,1008.6 hPa,—
2022-09-06,25 °C,27.3 °C,32 °C,11.1 mm,—,,11.4 km/h,—,1008.4 hPa,—
2022-09-07,25 °C,26.3 °C,29 °C,11.6 mm,—,,7.5 km/h,—,1008.6 hPa,—
2022-09-08,25 °C,27.4 °C,31 °C,15.2 mm,—,,14 km/h,—,1010.1 hPa,—
2022-09-09,25 °C,29.6 °C,34 °C,3.4 mm,—,,7.8 km/h,—,1009.8 hPa,—
2022-09-10,26 °C,29.5 °C,34 °C,8 mm,—,,8.5 km/h,—,1009.5 hPa,—
2022-09-11,25 °C,28.4 °C,34 °C,22.7 mm,—,,7 km/h,—,1008.9 hPa,—
2022-09-12,25 °C,27.1 °C,33 °C,6.5 mm,—,,5.8 km/h,—,1008.5 hPa,—
2022-09-13,25 °C,28.8 °C,33 °C,9.5 mm,—,,6.9 km/h,—,1009.2 hPa,—
2022-09-14,25 °C,27.9 °C,32 °C,9.5 mm,—,,13.6 km/h,—,1010.3 hPa,—
2022-09-15,25 °C,28.5 °C,32 °C,15.1 mm,—,,15.5 km/h,—,1009.5 hPa,—
2022-09-16,25 °C,28.2 °C,32 °C,9.4 mm,—,,11.8 km/h,—,1007.5 hPa,—
2022-09-17,26 °C,28.6 °C,33 °C,3.3 mm,—,,9.9 km/h,—,1007.6 hPa,—
2022-09-18,26 °C,27.8 °C,32 °C,7.5 mm,—,,10.2 km/h,—,1008.5 hPa,—
2022-09-19,24 °C,27.5 °C,32 °C,16.3 mm,—,,8.2 km/h,—,1008.5 hPa,—
2022-09-20,25 °C,27.8 °C,31 °C,12.5 mm,—,,9.3 km/h,—,1007.4 hPa,—
2022-09-21,25 °C,28.6 °C,33 °C,8.3 mm,—,,10.7 km/h,—,1006.8 hPa,—
2022-09-22,26 °C,27.8 °C,32 °C,8 mm,—,,13.1 km/h,—,1007.8 hPa,—
2022-09-23,25 °C,28.2 °C,33 °C,2.7 mm,—,,9.3 km/h,—,1008.2 hPa,—
2022-09-24,26 °C,27.8 °C,32 °C,12.3 mm,—,,7.3 km/h,—,1007.5 hPa,—
2022-09-25,24 °C,26.8 °C,31 °C,16.6 mm,—,,8.2 km/h,—,1008 hPa,—
