DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-01-01,23 °C,26.5 °C,31 °C,0.6 mm,—,,8.9 km/h,—,1012.8 hPa,—
2023-01-02,23 °C,26.9 °C,32 °C,0 mm,—,,6.4 km/h,—,1013.1 hPa,—
2023-01-03,24 °C,28.2 °C,33 °C,1 mm,—,,9.7 km/h,—,1012.4 hPa,—
2023-01-04,24 °C,27.8 °C,33 °C,0.1 mm,—,,13.4 km/h,—,1011.6 hPa,—
2023-01-05,24 °C,25.1 °C,28 °C,5.8 mm,—,,17.2 km/h,—,1011.4 hPa,—
2023-01-06,22 °C,26.4 °C,30 °C,18.3 mm,—,,15.2 km/h,—,1011.1 hPa,—
2023-01-07,24 °C,25.4 °C,29 °C,1.9 mm,—,,13.6 km/h,—,1010.3 hPa,—
2023-01-08,23 °C,26.4 °C,29 °C,4.3 mm,—,,6.7 km/h,—,1010.8 hPa,—
2023-01-09,25 °C,26.6 °C,31 °C,23.6 mm,—,,7.7 km/h,—,1011.6 hPa,—
2023-01-10,24 °C,26.5 °C,29 °C,16.2 mm,—,,12.2 km/h,—,1011.2 hPa,—
2023-01-11,25 °C,27.2 °C,30 °C,0.7 mm,—,,10.4 km/h,—,1010.7 hPa,—
2023-01-12,25 °C,27.4 °C,31 °C,3.8 mm,—,,12.4 km/h,—,1010.7 hPa,—
2023-01-13,24 °C,28.2 °C,32 °C,4.6 mm,—,,8 km/h,—,1010.8 hPa,—
2023-01-14,25 °C,28.5 °C,33 °C,0.1 mm,—,,7.3 km/h,—,1009 hPa,—
2023-01-15,25 °C,28.8 °C,33 °C,0 mm,—,,7.4 km/h,—,1008.2 hPa,—
2023-01-16,25 °C,28.1 °C,34 °C,0.2 mm,—,,8.9 km/h,—,1010.5 hPa,—
2023-01-17,23 °C,27.4 °C,32 °C,0.1 mm,—,,7.3 km/h,—,1011.1 hPa,—
2023-01-18,23 °C,27.3 °C,32 °C,0 mm,—,,7.4 km/h,—,1012.3 hPa,—
2023-01-19,24 °C,27.8 °C,33 °C,0 mm,—,,8 km/h,—,1011.6 hPa,—
2023-01-20,23 °C,27.9 °C,33 °C,0 mm,—,,7.7 km/h,—,1011.2 hPa,—
2023-01-21,24 °C,29.3 °C,34 °C,0 mm,—,,6.2 km/h,—,1010 hPa,—
2023-01-22,25 °C,28.9 °C,33 °C,0.1 mm,—,,6.4 km/h,—,1009.2 hPa,—
2023-01-23,25 °C,29.1 °C,34 °C,0.2 mm,—,,7.4 km/h,—,1008.5 hPa,—
2023-01-24,24 °C,27.8 °C,35 °C,0.7 mm,—,,9 km/h,—,1009.4 hPa,—
2023-01-25,23 °C,26.6 °C,32 °C,0 mm,—,,9.1 km/h,—,1009.7 hPa,—
2023-01-26,23 °C,27.2 °C,32 °C,0 mm,—,,6.8 km/h,—,1009.9 hPa,—
2023-01-27,24 °C,27.3 °C,33 °C,1.2 mm,—,,6.9 km/h,—,1009.5 hPa,—
2023-01-28,23 °C,26.8 °C,32 °C,0 mm,—,,10.8 km/h,—,1009.3 hPa,—
2023-01-29,23 °C,25.4 °C,30 °C,0 mm,—,,9.2 km/h,—,1010.7 hPa,—
2023-01-30,21 °C,25.4 °C,30 °C,0 mm,—,,9.4 km/h,—,1011.7 hPa,—
2023-01-31,21 °C,27.7 °C,33 °C,0 mm,—,,7.3 km/h,—,1010.2 hPa,—
2023-02-01,24 °C,27.6 °C,31 °C,0.4 mm,—,,7.2 km/h,—,1009.5 hPa,—
2023-02-02,24 °C,27.8 °C,32 °C,2.5 mm,—,,7.5 km/h,—,1009.9 hPa,—
2023-02-03,25 °C,29.2 °C,34 °C,0 mm,—,,12.4 km/h,—,1010.3 hPa,—
2023-02-04,24 °C,28.9 °C,35 °C,0 mm,—,,12.6 km/h,—,1009.5 hPa,—
2023-02-05,24 °C,28.9 °C,34 °C,0 mm,—,,8.9 km/h,—,1009 hPa,—
2023-02-06,25 °C,29.1 °C,34 °C,0 mm,—,,12.4 km/h,—,1009.5 hPa,—
2023-02-07,26 °C,28.6 °C,34 °C,0.6 mm,—,,13.9 km/h,—,1009.9 hPa,—
2023-02-08,25 °C,29.2 °C,35 °C,0.4 mm,—,,7.5 km/h,—,1009.7 hPa,—
2023-02-09,26 °C,29.4 °C,35 °C,0.5 mm,—,,14.4 km/h,—,1009.4 hPa,—
2023-02-10,26 °C,29.2 °C,35 °C,0 mm,—,,14.2 km/h,—,1010 hPa,—
2023-02-11,25 °C,29 °C,34 °C,0 mm,—,,13.2 km/h,—,1010.1 hPa,—
2023-02-12,25 °C,28.8 °C,34 °C,0 mm,—,,10.6 km/h,—,1010.4 hPa,—
2023-02-13,26 °C,28.3 °C,33 °C,0 mm,—,,12.4 km/h,—,1010.6 hPa,—
2023-02-14,25 °C,28 °C,33 °C,0 mm,—,,9.6 km/h,—,1010.5 hPa,—
2023-02-15,25 °C,28.1 °C,34 °C,0 mm,—,,8.8 km/h,—,1010.8 hPa,—
2023-02-16,23 °C,28.3 °C,33 °C,0 mm,—,,5.8 km/h,—,1011.6 hPa,—
2023-02-17,23 °C,28.8 °C,34 °C,0.6 mm,—,,8.7 km/h,—,1011.5 hPa,—
2023-02-18,25 °C,27.6 °C,33 °C,0.1 mm,—,,7.3 km/h,—,1011.2 hPa,—
2023-02-19,25 °C,28 °C,34 °C,3.3 mm,—,,8.6 km/h,—,1010.8 hPa,—
2023-02-20,24 °C,27.4 °C,33 °C,0 mm,—,,7.2 km/h,—,1010.9 hPa,—
2023-02-21,23 °C,27.8 °C,34 °C,0 mm,—,,7.4 km/h,—,1011.7 hPa,—
2023-02-22,23 °C,27.7 °C,33 °C,0.9 mm,—,,7.3 km/h,—,1011.7 hPa,—
2023-02-23,24 °C,27.9 °C,33 °C,0 mm,—,,6.7 km/h,—,1010.7 hPa,—
2023-02-24,24 °C,27.6 °C,34 °C,0 mm,—,,8.7 km/h,—,1010.9 hPa,—
2023-02-25,23 °C,27.3 °C,33 °C,0 mm,—,,6.2 km/h,—,1013.4 hPa,—
2023-02-26,22 °C,27.8 °C,34 °C,0 mm,—,,10.5 km/h,—,1014.5 hPa,—
2023-02-27,22 °C,28.2 °C,34 °C,0 mm,—,,8.4 km/h,—,1014.5 hPa,—
2023-02-28,24 °C,28.8 °C,34 °C,0 mm,—,,7.9 km/h,—,1013.3 hPa,—
2023-03-01,25 °C,28.8 °C,35 °C,0 mm,—,,7.7 km/h,—,1013.4 hPa,—
2023-03-02,24 °C,29 °C,35 °C,0 mm,—,,8.3 km/h,—,1013.1 hPa,—
2023-03-03,23 °C,26.8 °C,33 °C,0 mm,—,,9.2 km/h,—,1014.4 hPa,—
2023-03-04,22 °C,26.9 °C,32 °C,0 mm,—,,6.3 km/h,—,1015.5 hPa,—
2023-03-05,22 °C,27.3 °C,33 °C,0 mm,—,,8.2 km/h,—,1014.6 hPa,—
2023-03-06,22 °C,26.8 °C,32 °C,0 mm,—,,9.7 km/h,—,1013.8 hPa,—
2023-03-07,21 °C,27.1 °C,34 °C,0 mm,—,,8.6 km/h,—,1013.8 hPa,—
2023-03-08,22 °C,27.3 °C,33 °C,0 mm,—,,7.9 km/h,—,1013.6 hPa,—
2023-03-09,23 °C,27.3 °C,33 °C,0 mm,—,,10.1 km/h,—,1012.5 hPa,—
2023-03-10,22 °C,27.1 °C,33 °C,0 mm,—,,9.5 km/h,—,1011.7 hPa,—
2023-03-11,23 °C,27.6 °C,33 °C,0 mm,—,,10.3 km/h,—,1012 hPa,—
2023-03-12,24 °C,27.4 °C,33 °C,0 mm,—,,11 km/h,—,1012.3 hPa,—
2023-03-13,23 °C,27.7 °C,33 °C,0 mm,—,,8.3 km/h,—,1011.9 hPa,—
2023-03-14,23 °C,27.9 °C,34 °C,0 mm,—,,8.2 km/h,—,1010.5 hPa,—
2023-03-15,23 °C,27.4 °C,33.3 °C,0 mm,—,,12.4 km/h,—,1011 hPa,—
2023-03-16,21.6 °C,28.7 °C,35 °C,0 mm,—,,11.6 km/h,—,1011.9 hPa,—
2023-03-17,24 °C,28.6 °C,35 °C,0 mm,—,,11.1 km/h,—,1011.6 hPa,—
2023-03-18,25 °C,28.8 °C,34 °C,0 mm,—,,12.4 km/h,—,1010.7 hPa,—
2023-03-19,26 °C,29.8 °C,36 °C,0 mm,—,,15 km/h,—,1009.8 hPa,—
2023-03-20,26 °C,29.3 °C,34 °C,0.2 mm,—,,12 km/h,—,1009.6 hPa,—
2023-03-21,26 °C,29.1 °C,35 °C,0 mm,—,,11.4 km/h,—,1009.3 hPa,—
2023-03-22,26 °C,29 °C,35 °C,0 mm,—,,11.9 km/h,—,1008.2 hPa,—
2023-03-23,26 °C,29.4 °C,33 °C,0 mm,—,,10.8 km/h,—,1008.5 hPa,—
2023-03-24,26 °C,29.4 °C,35 °C,0 mm,—,,11.5 km/h,—,1009 hPa,—
2023-03-25,26 °C,28.6 °C,33 °C,0 mm,—,,11.8 km/h,—,1009.9 hPa,—
2023-03-26,25 °C,29.8 °C,36 °C,0 mm,—,,9.4 km/h,—,1009 hPa,—
2023-03-27,27 °C,29.6 °C,34 °C,0 mm,—,,12.7 km/h,—,1009.5 hPa,—
2023-03-28,27 °C,30.1 °C,36 °C,1.3 mm,—,,17.2 km/h,—,1010.3 hPa,—
2023-03-29,26 °C,30.2 °C,36 °C,0.1 mm,—,,12.3 km/h,—,1010.5 hPa,—
2023-03-30,27 °C,29.4 °C,34 °C,1.1 mm,—,,12.9 km/h,—,1009.3 hPa,—
2023-03-31,27 °C,29.2 °C,33 °C,0.4 mm,—,,13.1 km/h,—,1009.6 hPa,—
2023-04-01,27 °C,28.8 °C,34 °C,0 mm,—,,11.8 km/h,—,1009.4 hPa,—
2023-04-02,25 °C,30.3 °C,36 °C,0 mm,—,,10 km/h,—,1008.7 hPa,—
2023-04-03,26 °C,29.2 °C,34 °C,7.7 mm,—,,8.8 km/h,—,1008.8 hPa,—
2023-04-04,26 °C,30.3 °C,36 °C,0.7 mm,—,,10.4 km/h,—,1008 hPa,—
2023-04-05,27 °C,30.2 °C,35 °C,0.2 mm,—,,12 km/h,—,1008.6 hPa,—
2023-04-06,26 °C,30.5 °C,35 °C,0.1 mm,—,,9.9 km/h,—,1009 hPa,—
2023-04-07,28 °C,30.4 °C,35 °C,0 mm,—,,13.8 km/h,—,1010.6 hPa,—
2023-04-08,27 °C,31.1 °C,37 °C,0 mm,—,,12.6 km/h,—,1011.9 hPa,—
2023-04-09,28 °C,30.6 °C,36 °C,0.8 mm,—,,9.3 km/h,—,1011.6 hPa,—
2023-04-10,26 °C,30.2 °C,34 °C,2.9 mm,—,,8 km/h,—,1010.2 hPa,—
2023-04-11,28 °C,30.2 °C,34 °C,0.7 mm,—,,11.2 km/h,—,1009.9 hPa,—
2023-04-12,28 °C,30.2 °C,35 °C,2.5 mm,—,,10.2 km/h,—,1008.9 hPa,—
2023-04-13,28 °C,31.1 °C,35 °C,0.9 mm,—,,9.7 km/h,—,1008.7 hPa,—
2023-04-14,29 °C,31 °C,35 °C,3 mm,—,,10.5 km/h,—,1008.3 hPa,—
2023-04-15,23 °C,29.3 °C,35 °C,20.9 mm,—,,11.7 km/h,—,1007.5 hPa,—
2023-04-16,25 °C,29.6 °C,34 °C,7.4 mm,—,,7.1 km/h,—,1007.8 hPa,—
2023-04-17,27 °C,30.3 °C,34 °C,1 mm,—,,12 km/h,—,1009.5 hPa,—
2023-04-18,28 °C,30.3 °C,34 °C,0 mm,—,,11.9 km/h,—,1009.8 hPa,—
2023-04-19,28 °C,30.6 °C,34 °C,0 mm,—,,10.3 km/h,—,1007.1 hPa,—
2023-04-20,28 °C,30.8 °C,36 °C,0.8 mm,—,,12.5 km/h,—,1005.3 hPa,—
2023-04-21,28 °C,31.2 °C,36 °C,1.7 mm,—,,12.9 km/h,—,1005.7 hPa,—
2023-04-22,29 °C,31.4 °C,36 °C,0.1 mm,—,,12.4 km/h,—,1006.8 hPa,—
2023-04-23,28 °C,31.1 °C,36 °C,0 mm,—,,12.8 km/h,—,1008.4 hPa,—
2023-04-24,27 °C,31 °C,37 °C,0.8 mm,—,,9.8 km/h,—,1009.5 hPa,—
2023-04-25,28 °C,31.6 °C,37 °C,0.1 mm,—,,13.9 km/h,—,1007.8 hPa,—
2023-04-26,28 °C,31 °C,35 °C,0 mm,—,,10.7 km/h,—,1008.3 hPa,—
