DATE,TMIN,TAVG,TMAX,PRCP,SNOW,WDIR,WSPD,WPGT,PRES,TSUN
2023-06-23,25 °C,30.7 °C,36 °C,20.4 mm,—,,9.3 km/h,—,1007 hPa,—
2023-06-24,26 °C,29 °C,34 °C,2.4 mm,—,,7.9 km/h,—,1006.9 hPa,—
2023-06-25,25 °C,27.3 °C,33 °C,14.3 mm,—,,8.2 km/h,—,1007.3 hPa,—
2023-06-26,25 °C,28.9 °C,35 °C,4.8 mm,—,,7.9 km/h,—,1007.2 hPa,—
2023-06-27,25 °C,28.8 °C,34 °C,8.2 mm,—,,6.6 km/h,—,1007.6 hPa,—
2023-06-28,26 °C,28.5 °C,34 °C,10.3 mm,—,,8 km/h,—,1008.8 hPa,—
2023-06-29,24 °C,28.3 °C,32 °C,15 mm,—,,8.9 km/h,—,1008.4 hPa,—
2023-06-30,25 °C,28.4 °C,35 °C,10.5 mm,—,,10.7 km/h,—,1008.2 hPa,—
2023-07-01,25 °C,27.6 °C,32 °C,36.5 mm,—,,10.4 km/h,—,1009 hPa,—
2023-07-02,25 °C,26.4 °C,31 °C,5.7 mm,—,,6.1 km/h,—,1010 hPa,—
2023-07-03,25 °C,28.5 °C,33 °C,8.7 mm,—,,8.7 km/h,—,1009.8 hPa,—
2023-07-04,24 °C,29.6 °C,34 °C,0 mm,—,,7.5 km/h,—,1009.2 hPa,—
2023-07-05,25 °C,28.3 °C,34 °C,9.8 mm,—,,7.6 km/h,—,1008.5 hPa,—
2023-07-06,25 °C,28.1 °C,34 °C,6.7 mm,—,,5 km/h,—,1009.4 hPa,—
2023-07-07,26 °C,30.4 °C,35 °C,2.7 mm,—,,8.7 km/h,—,1009.5 hPa,—
2023-07-08,26 °C,28.7 °C,31 °C,7.3 mm,—,,8 km/h,—,1009.5 hPa,—
2023-07-09,26 °C,27.4 °C,32 °C,12 mm,—,,7.3 km/h,—,1009.8 hPa,—
2023-07-10,25 °C,29.4 °C,33 °C,4.1 mm,—,,7.5 km/h,—,1009 hPa,—
2023-07-11,26 °C,30.2 °C,34 °C,1.9 mm,—,,9.3 km/h,—,1008.9 hPa,—
2023-07-12,27 °C,29.9 °C,34 °C,11.2 mm,—,,7.3 km/h,—,1008.8 hPa,—
